Keller LEX1 pressure data
Date	Time	Pressure (mBar)
03/04/2014	11:33:07	1027.1364
03/04/2014	11:33:08	1027.0404
03/04/2014	11:33:09	1027.1086
03/04/2014	11:33:10	1027.0867
03/04/2014	11:33:11	1027.0957
03/04/2014	11:33:12	1027.0796
03/04/2014	11:33:13	1027.0957
03/04/2014	11:33:14	1027.1276
03/04/2014	11:33:15	1027.0399
03/04/2014	11:33:16	1026.9818
03/04/2014	11:33:17	1026.9364
03/04/2014	11:33:18	1026.9062
03/04/2014	11:33:19	1026.8132
03/04/2014	11:33:20	1026.7366
03/04/2014	11:33:21	NaN
03/04/2014	11:33:22	1026.6838
03/04/2014	11:33:23	1026.5029
03/04/2014	11:33:24	1026.5341
03/04/2014	11:33:25	1026.5397
03/04/2014	11:33:26	1026.5374
03/04/2014	11:33:27	1026.5132
03/04/2014	11:33:28	1026.4946
03/04/2014	11:33:30	1026.5172
03/04/2014	11:33:31	1026.4965
03/04/2014	11:33:32	1026.4813
03/04/2014	11:33:33	1026.3196
03/04/2014	11:33:34	1026.3492
03/04/2014	11:33:35	1026.3163
03/04/2014	11:33:36	1026.3286
03/04/2014	11:33:37	1026.2324
03/04/2014	11:33:38	1026.2921
03/04/2014	11:33:39	1026.1084
03/04/2014	11:33:40	1026.4374
03/04/2014	11:33:41	1025.9678
03/04/2014	11:33:42	1025.9037
03/04/2014	11:33:43	1025.9550
03/04/2014	11:33:44	1026.1777
03/04/2014	11:33:45	1026.0759
03/04/2014	11:33:46	1025.8376
03/04/2014	11:33:47	1025.9343
03/04/2014	11:33:48	1025.8850
03/04/2014	11:33:49	1025.9028
03/04/2014	11:33:50	1025.8315
03/04/2014	11:33:51	1025.8118
03/04/2014	11:33:52	1025.7802
03/04/2014	11:33:53	1025.8241
03/04/2014	11:33:54	1025.7882
03/04/2014	11:33:55	1025.7291
03/04/2014	11:33:56	1025.6973
03/04/2014	11:33:57	1025.6171
03/04/2014	11:33:58	1025.5929
03/04/2014	11:33:59	1025.5934
03/04/2014	11:34:00	1025.5566
03/04/2014	11:34:01	1025.5358
03/04/2014	11:34:02	1025.4913
03/04/2014	11:34:03	1025.4542
03/04/2014	11:34:04	1025.4182
03/04/2014	11:34:05	1025.3690
03/04/2014	11:34:06	1025.3582
03/04/2014	11:34:07	1025.2852
03/04/2014	11:34:08	1025.2272
03/04/2014	11:34:09	1025.2294
03/04/2014	11:34:10	1025.2727
03/04/2014	11:34:11	NaN
03/04/2014	11:34:12	1025.2148
03/04/2014	11:34:13	1025.1240
03/04/2014	11:34:14	1025.0957
03/04/2014	11:34:15	1025.1000
03/04/2014	11:34:16	1025.0591
03/04/2014	11:34:17	1025.0608
03/04/2014	11:34:18	1025.0834
03/04/2014	11:34:19	1025.0580
03/04/2014	11:34:20	1024.5701
03/04/2014	11:34:21	1024.7173
03/04/2014	11:34:22	1024.7302
03/04/2014	11:34:23	1024.5488
03/04/2014	11:34:24	1024.7024
03/04/2014	11:34:25	1024.6412
03/04/2014	11:34:26	1024.6753
03/04/2014	11:34:27	1024.6263
03/04/2014	11:34:28	1024.3756
03/04/2014	11:34:29	1024.5861
03/04/2014	11:34:30	1024.4160
03/04/2014	11:34:31	1024.3647
03/04/2014	11:34:32	1024.4258
03/04/2014	11:34:33	1024.3976
03/04/2014	11:34:34	1024.4263
03/04/2014	11:34:35	1024.4487
03/04/2014	11:34:36	1024.3888
03/04/2014	11:34:37	1024.4208
03/04/2014	11:34:38	1024.2911
03/04/2014	11:34:39	1024.2454
03/04/2014	11:34:40	1024.2831
03/04/2014	11:34:41	1024.2609
03/04/2014	11:34:42	1024.2137
03/04/2014	11:34:43	1024.1958
03/04/2014	11:34:44	1024.2162
03/04/2014	11:34:45	1024.1611
03/04/2014	11:34:46	1024.1306
03/04/2014	11:34:47	1024.0641
03/04/2014	11:34:48	1024.0338
03/04/2014	11:34:49	1024.0143
03/04/2014	11:34:50	1024.0039
03/04/2014	11:34:51	1024.0240
03/04/2014	11:34:52	1023.9398
03/04/2014	11:34:53	1023.8967
03/04/2014	11:34:54	1023.8264
03/04/2014	11:34:55	1023.8060
03/04/2014	11:34:56	NaN
03/04/2014	11:34:57	1023.7242
03/04/2014	11:34:58	1023.6492
03/04/2014	11:34:59	1023.6116
03/04/2014	11:35:00	1023.6235
03/04/2014	11:35:01	1023.5811
03/04/2014	11:35:02	1023.5902
03/04/2014	11:35:03	1023.5693
03/04/2014	11:35:04	1023.3984
03/04/2014	11:35:05	1023.4396
03/04/2014	11:35:06	1023.3422
03/04/2014	11:35:07	1023.3907
03/04/2014	11:35:08	1023.3551
03/04/2014	11:35:09	1023.3182
03/04/2014	11:35:10	1023.3259
03/04/2014	11:35:11	1023.2938
03/04/2014	11:35:12	1023.2797
03/04/2014	11:35:13	1023.2451
03/04/2014	11:35:14	1023.2418
03/04/2014	11:35:15	1023.1605
03/04/2014	11:35:16	1023.1525
03/04/2014	11:35:17	1023.1238
03/04/2014	11:35:18	1023.1085
03/04/2014	11:35:19	1023.1293
03/04/2014	11:35:20	1023.0696
03/04/2014	11:35:21	1023.1196
03/04/2014	11:35:22	1023.0450
03/04/2014	11:35:23	1022.9223
03/04/2014	11:35:24	1022.9418
03/04/2014	11:35:25	1022.9496
03/04/2014	11:35:26	1023.0078
03/04/2014	11:35:27	1022.9459
03/04/2014	11:35:28	1022.8665
03/04/2014	11:35:29	1022.8043
03/04/2014	11:35:30	1022.7477
03/04/2014	11:35:31	1022.7216
03/04/2014	11:35:32	1022.7084
03/04/2014	11:35:33	1022.6458
03/04/2014	11:35:34	1022.5997
03/04/2014	11:35:35	1022.6363
03/04/2014	11:35:36	1022.6235
03/04/2014	11:35:37	1022.5895
03/04/2014	11:35:38	1022.5388
03/04/2014	11:35:39	1022.5458
03/04/2014	11:35:40	1022.4961
03/04/2014	11:35:41	1022.4138
03/04/2014	11:35:42	1022.4319
03/04/2014	11:35:43	1022.3222
03/04/2014	11:35:44	1022.5068
03/04/2014	11:35:45	1022.2379
03/04/2014	11:35:46	1021.8026
03/04/2014	11:35:47	1022.4215
03/04/2014	11:35:48	1022.5709
03/04/2014	11:35:49	1022.3274
03/04/2014	11:35:50	1022.3903
03/04/2014	11:35:51	1022.3905
03/04/2014	11:35:52	1022.3073
03/04/2014	11:35:53	1022.4388
03/04/2014	11:35:54	1022.3564
03/04/2014	11:35:55	1022.4304
03/04/2014	11:35:56	1022.4390
03/04/2014	11:35:57	1022.3067
03/04/2014	11:35:58	1022.2590
03/04/2014	11:35:59	1022.8909
03/04/2014	11:36:00	1022.7630
03/04/2014	11:36:01	1022.1227
03/04/2014	11:36:02	1022.2507
03/04/2014	11:36:03	1022.6070
03/04/2014	11:36:04	1022.1589
03/04/2014	11:36:05	1022.3082
03/04/2014	11:36:06	1022.5515
03/04/2014	11:36:07	1022.5843
03/04/2014	11:36:08	1022.4997
03/04/2014	11:36:09	1022.4487
03/04/2014	11:36:10	1022.4257
03/04/2014	11:36:11	1022.4904
03/04/2014	11:36:12	1022.5505
03/04/2014	11:36:13	1022.1588
03/04/2014	11:36:14	1022.6710
03/04/2014	11:36:15	1022.3339
03/04/2014	11:36:16	1022.5216
03/04/2014	11:36:17	1022.6710
03/04/2014	11:36:18	1022.5365
03/04/2014	11:36:19	1022.4720
03/04/2014	11:36:20	1022.4686
03/04/2014	11:36:21	1022.4727
03/04/2014	11:36:22	1022.3935
03/04/2014	11:36:23	1022.5705
03/04/2014	11:36:24	1022.4127
03/04/2014	11:36:25	1022.3936
03/04/2014	11:36:26	1022.6710
03/04/2014	11:36:27	1022.2869
03/04/2014	11:36:28	1022.4001
03/04/2014	11:36:30	1022.5560
03/04/2014	11:36:31	1022.5295
03/04/2014	11:36:32	1022.7630
03/04/2014	11:36:33	1022.5385
03/04/2014	11:36:34	1022.4910
03/04/2014	11:36:35	1022.4922
03/04/2014	11:36:36	1022.4355
03/04/2014	11:36:37	1022.3600
03/04/2014	11:36:38	1022.3785
03/04/2014	11:36:39	1022.3954
03/04/2014	11:36:40	1022.4584
03/04/2014	11:36:41	1022.4534
03/04/2014	11:36:42	1022.4597
03/04/2014	11:36:43	1022.4168
03/04/2014	11:36:44	1022.4006
03/04/2014	11:36:45	1022.4322
03/04/2014	11:36:46	1022.3860
03/04/2014	11:36:47	1022.4225
03/04/2014	11:36:48	1022.4318
03/04/2014	11:36:49	1022.4254
03/04/2014	11:36:50	1022.4800
03/04/2014	11:36:51	1022.4961
03/04/2014	11:36:52	1022.4587
03/04/2014	11:36:53	1022.5216
03/04/2014	11:36:54	1022.5281
03/04/2014	11:36:55	1022.5093
03/04/2014	11:36:56	1022.5365
03/04/2014	11:36:57	1022.5705
03/04/2014	11:36:58	1022.5518
03/04/2014	11:36:59	1022.5231
03/04/2014	11:37:00	1022.5801
03/04/2014	11:37:01	1022.2936
03/04/2014	11:37:02	1020.4580
03/04/2014	11:37:03	1018.6652
03/04/2014	11:37:04	1017.5767
03/04/2014	11:37:05	1015.8480
03/04/2014	11:37:06	1014.5035
03/04/2014	11:37:07	1012.8390
03/04/2014	11:37:08	1011.5615
03/04/2014	11:37:09	1009.7048
03/04/2014	11:37:10	1008.1043
03/04/2014	11:37:11	1006.5677
